Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Haiti,6.989819,7.604301,8.329151,7.705837,8.873864,9.256048,9.474688,10.21842,10.295057,9.786872,9.076634,9.542193,10.491044,11.038771,11.895988,13.570336,14.088038,13.984254,14.597323,13.217826,11.0476675,11.801085,11.801085
Honduras,24.346216,26.576199,26.845087,29.437044,31.275608,32.102013,30.896307,38.258102,37.8983,35.912487,37.517864,37.99666,41.388077,41.480186,45.447643,50.56032,49.596046,52.525883,57.746044,56.173466,51.09921,52.285263,52.285263
Hungary,280.80228,287.6443,280.91214,284.3871,288.92676,308.07724,302.06055,298.0855,293.89648,272.6884,277.82706,269.46396,251.11597,238.0414,238.26877,251.03966,255.4948,269.29346,271.20258,274.8925,270.3273,283.98883,265.73322
Iceland,33.229614,33.59983,34.91136,35.086388,35.7808,35.90419,39.38225,45.020454,56.450768,56.355034,56.386024,56.377453,56.89812,58.71669,58.62973,61.207317,61.441673,64.24559,66.45856,63.328125,57.112408,58.114796,61.85375
India,3728.5142,3743.8525,3865.751,4004.0781,4347.5815,4603.61,4849.72,5263.1113,5570.697,5986.512,6244.9697,6586.134,6942.567,7172.9463,7656.9136,7922.4277,8278.461,8594.206,9081.509,9310.841,8821.111,9584.976,10123.443
Indonesia,1163.5768,1246.3197,1280.0542,1388.6608,1375.4415,1415.4885,1439.7615,1545.1866,1563.0292,1605.616,1737.839,1835.9167,1895.301,1829.9647,1853.9653,1882.7941,1888.4817,1954.2559,2143.7166,2284.5745,2112.6199,2154.9421,2714.9155
Iran,1396.5679,1492.1416,1626.3677,1656.1945,1831.958,1940.2998,2120.2705,2253.9915,2323.3672,2379.2898,2421.595,2529.5142,2558.024,2647.9172,2756.6716,2745.5205,2878.7944,2986.0908,3087.4463,3257.9375,3378.643,3360.935,3376.7065
Iraq,322.66235,360.44513,342.5957,304.07303,326.04388,308.3225,299.682,302.1791,345.91293,339.51334,380.42465,391.37015,427.02396,474.09854,471.44806,470.37845,532.0211,597.88995,604.6744,641.3408,553.082,577.57227,640.39056
Ireland,173.34885,183.16753,181.35396,176.85468,180.36188,188.174,194.29442,197.32437,196.37903,176.61156,178.30043,170.26166,167.46858,164.99734,164.55302,173.913,181.64131,182.4076,186.48524,187.375,176.23067,179.47488,189.6796
Israel,227.37195,227.2133,231.78326,238.83667,243.58925,244.78761,246.15257,255.31548,262.74496,255.30803,265.50854,270.47958,282.93994,267.764,261.28497,275.67947,281.28372,286.97934,291.69208,302.01288,285.43985,290.03796,304.0761
Italy,2099.2852,2097.5369,2083.352,2149.7844,2197.5198,2200.2498,2190.0674,2148.2993,2111.905,1971.7054,2036.7327,1997.9124,1943.8773,1858.6002,1762.3202,1814.7657,1821.9315,1843.1206,1853.6401,1819.5555,1651.9622,1760.8044,1706.7852
Jamaica,43.211422,43.843773,43.64882,45.48951,44.501144,45.886753,52.419537,53.39062,45.405308,35.698082,32.796238,34.7455,32.558598,35.42048,34.90134,35.997795,37.267353,33.539192,34.684174,43.29625,34.123722,34.59914,34.59914
Japan,6242.476,6183.3726,6192.4404,6170.2114,6241.5093,6263.036,6248.704,6181.806,6073.238,5541.6133,5907.574,5595.5786,5552.538,5512.0854,5372.656,5296.524,5228.6274,5292.3423,5264.1323,5140.941,4762.967,4983.8887,4956.1978
Jordan,66.33986,63.718197,66.82519,72.97168,79.27677,86.07135,88.99387,85.58677,82.44918,85.74355,89.245705,93.45376,99.16974,98.46778,101.033775,109.15669,116.34625,120.371185,117.50013,120.44836,107.51725,102.37639,102.37639
Kazakhstan,369.74738,416.19168,423.94363,464.69073,493.8026,507.509,546.16174,605.14886,638.1466,572.664,614.3876,697.2462,733.1697,736.4636,773.14575,642.1933,721.45703,776.67645,803.0812,814.0153,751.39984,814.74585,867.1289
Kenya,45.629185,46.44051,46.868996,44.622013,48.01649,52.13451,57.201344,57.552902,56.80351,62.04586,67.37207,69.644844,68.869995,72.58364,75.852745,89.5755,94.18906,94.94264,102.26798,99.16891,98.88311,103.50374,103.50374
Kiribati,0.14542937,0.12409294,0.18187264,0.18908446,0.20252702,0.26538065,0.2952016,0.26950946,0.3018735,0.26352957,0.26245517,0.24237041,0.23942079,0.24217412,0.24384083,0.26302695,0.28223434,0.3183175,0.32035,0.32211494,0.30576795,0.31533784,0.31533784
Kuwait,211.94313,214.30533,226.82956,271.0907,302.8387,334.09308,321.13065,311.9603,337.47018,349.38324,392.96445,403.56592,414.8776,424.64246,431.84927,448.75955,443.28876,450.90344,461.70306,420.1843,397.37387,416.78928,443.46362
